BFS_NR_GEMEINDE;GEMEINDE_NAME;BEZIRK_NR;BEZIRK_NAME;Wahljahr;Total_gueltige_Wahlzettel;Unveraenderte_Wahlzettel;Veraenderte_Wahlzettel _mit_Listenbezeichnung; Wahlzettel_ohne_Bezeichnung;Wahlberechtigte_Personen
4551;Aadorf;2004;Frauenfeld;2008;1486;607;817;62;5240
4711;Affeltrangen;2006;Münchwilen;2008;523;225;276;22;1542
4641;Altnau;2005;Kreuzlingen;2008;400;120;252;28;1209
4881;Amlikon-Bissegg;2008;Weinfelden;2008;342;96;216;30;891
4461;Amriswil;2002;Bischofszell;2008;1941;664;1131;146;6886
4401;Arbon;2001;Arbon;2008;2141;842;1122;177;7873
4536;Basadingen-Schlattingen;2003;Diessenhofen;2008;470;168;259;43;1146
4891;Berg;2008;Weinfelden;2008;791;273;446;72;2087
4801;Berlingen;2007;Steckborn;2008;259;72;154;33;552
4716;Bettwiesen;2006;Münchwilen;2008;183;69;96;18;673
4721;Bichelsee-Balterswil;2006;Münchwilen;2008;664;131;515;18;1767
4901;Birwinken;2008;Weinfelden;2008;300;103;178;19;843
4471;Bischofszell;2002;Bischofszell;2008;1111;460;570;81;3425
4643;Bottighofen;2005;Kreuzlingen;2008;460;129;289;42;1291
4723;Braunau;2006;Münchwilen;2008;169;52;112;5;459
4911;Bürglen;2008;Weinfelden;2008;595;153;389;53;1932
4921;Bussnang;2008;Weinfelden;2008;566;155;365;46;1436
4545;Diessenhofen;2003;Diessenhofen;2008;715;319;344;52;1897
4406;Dozwil;2001;Arbon;2008;161;56;100;5;362
4411;Egnach;2001;Arbon;2008;1054;368;604;82;2931
4476;Erlen;2002;Bischofszell;2008;651;222;374;55;1952
4646;Ermatingen;2005;Kreuzlingen;2008;647;186;435;26;1735
4806;Eschenz;2007;Steckborn;2008;422;117;258;47;1125
4724;Eschlikon;2006;Münchwilen;2008;931;292;566;73;2580
4561;Felben-Wellhausen;2004;Frauenfeld;2008;411;141;246;24;1528
4726;Fischingen;2006;Münchwilen;2008;713;215;462;36;1864
4566;Frauenfeld;2004;Frauenfeld;2008;4862;2196;2398;268;14470
4571;Gachnang;2004;Frauenfeld;2008;690;243;407;40;2271
4651;Gottlieben;2005;Kreuzlingen;2008;70;35;35;0;182
4656;Güttingen;2005;Kreuzlingen;2008;368;127;209;32;913
4486;Hauptwil-Gottshaus;2002;Bischofszell;2008;368;128;201;39;1228
4416;Hefenhofen;2001;Arbon;2008;231;100;123;8;815
4811;Herdern;2007;Steckborn;2008;276;93;161;22;650
4495;Hohentannen;2002;Bischofszell;2008;170;49;104;17;410
4816;Homburg;2007;Steckborn;2008;422;109;280;33;1060
4421;Horn;2001;Arbon;2008;480;178;282;20;1654
4590;Hüttlingen;2004;Frauenfeld;2008;251;94;144;13;596
4821;Hüttwilen;2007;Steckborn;2008;433;124;272;37;1011
4666;Kemmental;2005;Kreuzlingen;2008;459;170;251;38;1513
4426;Kesswil;2001;Arbon;2008;260;102;150;8;632
4501;Kradolf-Schönenberg;2002;Bischofszell;2008;698;221;401;76;2065
4671;Kreuzlingen;2005;Kreuzlingen;2008;2431;1061;1159;211;8255
4681;Langrickenbach;2005;Kreuzlingen;2008;275;68;186;21;753
4683;Lengwil;2005;Kreuzlingen;2008;260;92;153;15;843
4741;Lommis;2006;Münchwilen;2008;225;127;91;7;708
4826;Mammern;2007;Steckborn;2008;157;47;87;23;341
4941;Märstetten;2008;Weinfelden;2008;658;168;427;63;1605
4591;Matzingen;2004;Frauenfeld;2008;438;181;244;13;1510
4831;Müllheim;2007;Steckborn;2008;478;150;285;43;1659
4746;Münchwilen;2006;Münchwilen;2008;784;288;439;57;2893
4691;Münsterlingen;2005;Kreuzlingen;2008;487;209;249;29;1424
4601;Neunforn;2004;Frauenfeld;2008;277;90;182;5;873
4841;Pfyn;2007;Steckborn;2008;438;151;254;33;1309
4846;Raperswilen;2007;Steckborn;2008;102;23;74;5;290
4751;Rickenbach b. Wil ;2006;Münchwilen;2008;374;139;212;23;1442
4431;Roggwil;2001;Arbon;2008;605;219;343;43;1919
4436;Romanshorn;2001;Arbon;2008;1825;707;953;165;5658
4851;Salenstein;2007;Steckborn;2008;288;112;162;14;804
4441;Salmsach;2001;Arbon;2008;209;70;129;10;806
4546;Schlatt;2003;Diessenhofen;2008;409;138;236;35;1087
4756;Schönholzerswilen;2006;Münchwilen;2008;236;64;154;18;526
4761;Sirnach;2006;Münchwilen;2008;1264;482;691;91;4182
4446;Sommeri;2001;Arbon;2008;156;64;78;14;368
4864;Steckborn;2007;Steckborn;2008;807;232;501;74;2134
4606;Stettfurt;2004;Frauenfeld;2008;231;103;124;4;775
4506;Sulgen;2002;Bischofszell;2008;754;198;501;55;2116
4696;Tägerwilen;2005;Kreuzlingen;2008;605;226;339;40;2043
4611;Thundorf;2004;Frauenfeld;2008;316;122;178;16;906
4776;Tobel-Tägerschen;2006;Münchwilen;2008;335;102;216;17;914
4616;Uesslingen-Buch;2004;Frauenfeld;2008;311;79;211;21;769
4451;Uttwil;2001;Arbon;2008;369;160;191;18;1086
4871;Wagenhausen;2007;Steckborn;2008;353;129;199;25;1086
4701;Wäldi;2005;Kreuzlingen;2008;234;106;117;11;666
4781;Wängi;2006;Münchwilen;2008;871;347;476;48;2712
4621;Warth-Weiningen;2004;Frauenfeld;2008;371;96;253;22;898
4946;Weinfelden;2008;Weinfelden;2008;2497;904;1388;205;6595
4951;Wigoltingen;2008;Weinfelden;2008;517;201;281;35;1470
4786;Wilen;2006;Münchwilen;2008;446;180;223;43;1353
4791;Wuppenau;2006;Münchwilen;2008;296;71;211;14;730
4511;Zihlschlacht Sitterdorf;2002;Bischofszell;2008;417;141;242;34;1385
4551;Aadorf;2014;Münchwilen;2012;1571;595;867;109;5730
4711;Affeltrangen;2015;Weinfelden;2012;472;238;218;16;1606
4641;Altnau;2013;Kreuzlingen;2012;422;141;262;19;1310
4881;Amlikon-Bissegg;2015;Weinfelden;2012;315;117;176;22;934
4461;Amriswil;2011;Arbon;2012;1886;646;1091;149;7'299
4401;Arbon;2011;Arbon;2012;2083;683;1234;166;8'167
4536;Basadingen-Schlattingen;2012;Frauenfeld;2012;399;133;231;35;1164
4891;Berg;2015;Weinfelden;2012;664;259;369;36;2133
4801;Berlingen;2012;Frauenfeld;2012;250;75;160;15;572
4716;Bettwiesen;2014;Münchwilen;2012;171;65;84;22;700
4721;Bichelsee-Balterswil;2014;Münchwilen;2012;587;135;397;55;1865
4901;Birwinken;2015;Weinfelden;2012;292;91;172;29;922
4471;Bischofszell;2015;Weinfelden;2012;958;420;467;71;3443
4643;Bottighofen;2013;Kreuzlingen;2012;418;172;215;31;1231
4723;Braunau;2014;Münchwilen;2012;169;66;95;8;474
4911;Bürglen;2015;Weinfelden;2012;595;187;349;59;2109
4921;Bussnang;2015;Weinfelden;2012;531;151;331;49;1500
4545;Diessenhofen;2012;Frauenfeld;2012;684;171;464;49;2025
4406;Dozwil;2011;Arbon;2012;168;59;101;8;414
4411;Egnach;2011;Arbon;2012;973;269;612;92;2'958
4476;Erlen;2015;Weinfelden;2012;507;176;294;37;2018
4646;Ermatingen;2013;Kreuzlingen;2012;585;178;369;38;1762
4806;Eschenz;2012;Frauenfeld;2012;344;80;239;25;1138
4724;Eschlikon;2014;Münchwilen;2012;847;294;476;77;2770
4561;Felben-Wellhausen;2012;Frauenfeld;2012;430;162;243;25;1644
4726;Fischingen;2014;Münchwilen;2012;667;170;446;51;1867
4566;Frauenfeld;2012;Frauenfeld;2012;5075;2158;2572;345;15307
4571;Gachnang;2012;Frauenfeld;2012;605;242;318;45;2327
4651;Gottlieben;2013;Kreuzlingen;2012;75;35;40;0;174
4656;Güttingen;2013;Kreuzlingen;2012;319;127;170;22;953
4486;Hauptwil-Gottshaus;2015;Weinfelden;2012;335;97;205;33;1275
4416;Hefenhofen;2011;Arbon;2012;233;72;149;12;843
4811;Herdern;2012;Frauenfeld;2012;264;73;175;16;685
4495;Hohentannen;2015;Weinfelden;2012;120;44;66;10;427
4816;Homburg;2012;Frauenfeld;2012;333;101;211;21;1083
4421;Horn;2011;Arbon;2012;438;173;239;26;1'750
4590;Hüttlingen;2012;Frauenfeld;2012;230;87;128;15;595
4821;Hüttwilen;2012;Frauenfeld;2012;480;139;313;28;1086
4666;Kemmental;2013;Kreuzlingen;2012;403;143;235;25;1502
4426;Kesswil;2011;Arbon;2012;278;100;167;11;650
4501;Kradolf-Schönenberg;2015;Weinfelden;2012;631;200;378;53;2141
4671;Kreuzlingen;2013;Kreuzlingen;2012;2355;1130;1052;173;8367
4681;Langrickenbach;2013;Kreuzlingen;2012;262;75;169;18;766
4683;Lengwil;2013;Kreuzlingen;2012;262;89;155;18;887
4741;Lommis;2014;Münchwilen;2012;240;129;101;10;773
4826;Mammern;2012;Frauenfeld;2012;149;48;87;14;355
4941;Märstetten;2015;Weinfelden;2012;636;194;389;53;1755
4591;Matzingen;2012;Frauenfeld;2012;435;166;243;26;1595
4831;Müllheim;2012;Frauenfeld;2012;393;135;237;21;1764
4746;Münchwilen;2014;Münchwilen;2012;777;284;434;59;3086
4691;Münsterlingen;2013;Kreuzlingen;2012;467;198;237;32;1576
4601;Neunforn;2012;Frauenfeld;2012;227;80;135;12;732
4841;Pfyn;2012;Frauenfeld;2012;390;142;219;29;1367
4846;Raperswilen;2013;Kreuzlingen;2012;145;40;95;10;295
4751;Rickenbach ;2014;Münchwilen;2012;338;162;157;19;1510
4431;Roggwil;2011;Arbon;2012;547;155;344;48;1'989
4436;Romanshorn;2011;Arbon;2012;2054;626;1214;214;6'050
4851;Salenstein;2013;Kreuzlingen;2012;285;98;165;22;775
4441;Salmsach;2011;Arbon;2012;216;76;118;22;818
4546;Schlatt;2012;Frauenfeld;2012;353;88;246;19;1117
4756;Schönholzerswilen;2015;Weinfelden;2012;195;39;138;18;547
4761;Sirnach;2014;Münchwilen;2012;1194;415;686;93;4582
4446;Sommeri;2011;Arbon;2012;125;55;63;7;377
4864;Steckborn;2012;Frauenfeld;2012;683;241;412;30;2244
4606;Stettfurt;2012;Frauenfeld;2012;244;98;135;11;772
4506;Sulgen;2015;Weinfelden;2012;683;205;423;55;2209
4696;Tägerwilen;2013;Kreuzlingen;2012;503;215;260;28;2131
4611;Thundorf;2012;Frauenfeld;2012;300;107;177;16;955
4776;Tobel-Tägerschen;2014;Münchwilen;2012;262;82;163;17;945
4616;Uesslingen-Buch;2012;Frauenfeld;2012;290;71;198;21;797
4451;Uttwil;2011;Arbon;2012;416;132;255;29;1'177
4871;Wagenhausen;2012;Frauenfeld;2012;324;114;186;24;1078
4701;Wäldi;2013;Kreuzlingen;2012;226;69;140;17;710
4781;Wängi;2014;Münchwilen;2012;878;297;512;69;2880
4621;Warth-Weiningen;2012;Frauenfeld;2012;328;92;210;26;914
4946;Weinfelden;2015;Weinfelden;2012;2404;809;1392;203;7062
4951;Wigoltingen;2015;Weinfelden;2012;427;163;235;29;1558
4786;Wilen;2014;Münchwilen;2012;341;139;171;31;1432
4791;Wuppenau;2015;Weinfelden;2012;284;52;214;18;773
4511;Zihlschlacht-Sitterdorf;2015;Weinfelden;2012;405;176;203;26;1441
4551;Aadorf;2014;Münchwilen;2016;1667;609;945;113;6046
4711;Affeltrangen;2015;Weinfelden;2016;500;233;238;29;1626
4641;Altnau;2013;Kreuzlingen;2016;500;164;298;38;1383
4881;Amlikon-Bissegg;2015;Weinfelden;2016;314;92;194;28;968
4461;Amriswil;2011;Arbon;2016;1901;712;1056;133;7503
4401;Arbon;2011;Arbon;2016;2129;821;1115;193;8155
4536;Basadingen-Schlattingen;2012;Frauenfeld;2016;357;135;205;17;1235
4891;Berg;2015;Weinfelden;2016;705;234;422;49;2218
4801;Berlingen;2012;Frauenfeld;2016;236;78;143;15;577
4716;Bettwiesen;2014;Münchwilen;2016;157;71;76;10;739
4721;Bichelsee-Balterswil;2014;Münchwilen;2016;613;179;366;68;1957
4901;Birwinken;2015;Weinfelden;2016;308;91;189;28;947
4471;Bischofszell;2015;Weinfelden;2016;992;399;514;79;3542
4643;Bottighofen;2013;Kreuzlingen;2016;455;139;278;38;1252
4723;Braunau;2014;Münchwilen;2016;179;71;103;5;521
4911;Bürglen;2015;Weinfelden;2016;604;201;347;56;2264
4921;Bussnang;2015;Weinfelden;2016;552;174;344;34;1548
4545;Diessenhofen;2012;Frauenfeld;2016;588;209;341;38;2018
4406;Dozwil;2011;Arbon;2016;190;52;132;6;447
4411;Egnach;2011;Arbon;2016;1133;376;672;85;3157
4476;Erlen;2015;Weinfelden;2016;547;200;308;39;2131
4646;Ermatingen;2013;Kreuzlingen;2016;673;170;445;58;1910
4806;Eschenz;2012;Frauenfeld;2016;341;128;196;17;1157
4724;Eschlikon;2014;Münchwilen;2016;932;360;498;74;2987
4561;Felben-Wellhausen;2012;Frauenfeld;2016;402;198;186;18;1738
4726;Fischingen;2014;Münchwilen;2016;657;197;425;35;1954
4566;Frauenfeld;2012;Frauenfeld;2016;5153;2261;2581;311;15786
4571;Gachnang;2012;Frauenfeld;2016;686;283;360;43;2678
4651;Gottlieben;2013;Kreuzlingen;2016;81;30;45;6;162
4656;Güttingen;2013;Kreuzlingen;2016;364;133;204;27;1006
4486;Hauptwil-Gottshaus;2015;Weinfelden;2016;320;110;175;35;1347
4416;Hefenhofen;2011;Arbon;2016;208;79;119;10;870
4811;Herdern;2012;Frauenfeld;2016;244;108;119;17;746
4495;Hohentannen;2015;Weinfelden;2016;109;41;58;10;439
4816;Homburg;2012;Frauenfeld;2016;320;119;180;21;1121
4421;Horn;2011;Arbon;2016;479;204;262;13;1804
4590;Hüttlingen;2012;Frauenfeld;2016;171;68;87;16;599
4821;Hüttwilen;2012;Frauenfeld;2016;417;153;239;25;1171
4666;Kemmental;2013;Kreuzlingen;2016;426;157;247;22;1592
4426;Kesswil;2011;Arbon;2016;245;87;145;13;648
4501;Kradolf-Schönenberg;2015;Weinfelden;2016;597;210;338;49;2205
4671;Kreuzlingen;2013;Kreuzlingen;2016;2612;1085;1321;206;8451
4681;Langrickenbach;2013;Kreuzlingen;2016;280;85;170;25;835
4683;Lengwil;2013;Kreuzlingen;2016;316;113;168;35;981
4741;Lommis;2014;Münchwilen;2016;238;109;101;28;836
4826;Mammern;2012;Frauenfeld;2016;131;49;73;9;383
4941;Märstetten;2015;Weinfelden;2016;667;196;416;55;1891
4591;Matzingen;2012;Frauenfeld;2016;517;263;230;24;1613
4831;Müllheim;2012;Frauenfeld;2016;445;172;247;26;1950
4746;Münchwilen;2014;Münchwilen;2016;847;271;499;77;3302
4691;Münsterlingen;2013;Kreuzlingen;2016;548;201;299;48;1636
4601;Neunforn;2012;Frauenfeld;2016;208;72;128;8;758
4841;Pfyn;2012;Frauenfeld;2016;351;129;199;23;1333
4846;Raperswilen;2013;Kreuzlingen;2016;118;26;79;13;290
4751;Rickenbach b. Wil;2014;Münchwilen;2016;317;150;148;19;1531
4431;Roggwil;2011;Arbon;2016;538;198;308;32;2040
4436;Romanshorn;2011;Arbon;2016;1972;686;1123;163;6262
4851;Salenstein;2013;Kreuzlingen;2016;329;88;218;23;802
4441;Salmsach;2011;Arbon;2016;255;84;153;18;827
4546;Schlatt;2012;Frauenfeld;2016;298;106;183;9;1182
4756;Schönholzerswilen;2015;Weinfelden;2016;222;68;140;14;565
4761;Sirnach;2014;Münchwilen;2016;1250;456;690;104;4825
4446;Sommeri;2011;Arbon;2016;130;50;78;2;382
4864;Steckborn;2012;Frauenfeld;2016;702;318;347;37;2311
4606;Stettfurt;2012;Frauenfeld;2016;285;122;158;5;829
4506;Sulgen;2015;Weinfelden;2016;693;244;391;58;2305
4696;Tägerwilen;2013;Kreuzlingen;2016;612;221;336;55;2276
4611;Thundorf;2012;Frauenfeld;2016;322;131;179;12;1045
4776;Tobel-Tägerschen;2014;Münchwilen;2016;245;95;140;10;1042
4616;Uesslingen-Buch;2012;Frauenfeld;2016;277;74;189;14;816
4451;Uttwil;2011;Arbon;2016;416;144;242;30;1216
4871;Wagenhausen;2012;Frauenfeld;2016;316;129;171;16;1067
4701;Wäldi;2013;Kreuzlingen;2016;218;58;145;15;710
4781;Wängi;2014;Münchwilen;2016;880;347;470;63;3113
4621;Warth-Weiningen;2012;Frauenfeld;2016;289;105;164;20;918
4946;Weinfelden;2015;Weinfelden;2016;2434;851;1409;174;7365
4951;Wigoltingen;2015;Weinfelden;2016;466;191;250;25;1584
4786;Wilen;2014;Münchwilen;2016;364;159;172;33;1640
4791;Wuppenau;2015;Weinfelden;2016;281;55;214;12;786
4511;Zihlschlacht-Sitterdorf;2015;Weinfelden;2016;455;147;280;28;1543
